date,Medical Incident,Alarms,Structure Fire,Traffic Collision,Citizen Assist Service Call
12/1/18,506,78,29,53,11
12/2/18,602,67,84,35,17
12/3/18,610,67,38,70,11
12/4/18,571,152,87,38,9
12/5/18,589,87,127,46,10
12/6/18,506,109,104,40,17
12/7/18,635,162,99,47,15
12/8/18,659,109,140,30,13
12/9/18,542,109,121,17,5
12/10/18,591,82,47,24,10
12/11/18,612,86,65,42,7
12/12/18,540,96,65,51,10
12/13/18,651,153,34,26,14
12/14/18,601,115,37,25,8
12/15/18,640,75,44,39,11
12/16/18,530,93,45,37,19
12/17/18,584,88,60,66,6
12/18/18,596,138,38,37,11
12/19/18,577,111,42,37,9
12/20/18,527,111,97,43,17
12/21/18,666,86,66,48,20
12/22/18,588,76,49,38,5
12/23/18,522,98,95,22,11
12/24/18,542,117,77,43,11
12/25/18,526,80,43,22,5
12/26/18,527,136,64,19,8
12/27/18,474,95,48,33,16
12/28/18,611,82,99,78,5
12/29/18,565,122,62,26,7
12/30/18,490,84,58,37,9
12/31/18,650,94,68,26,18
1/1/19,635,131,95,29,6
1/2/19,583,136,140,25,26
1/3/19,578,93,73,22,12
1/4/19,589,108,84,38,5
1/5/19,554,74,132,23,17
1/6/19,578,140,90,19,21
1/7/19,646,138,31,30,13
1/8/19,568,115,32,25,14
1/9/19,567,122,67,10,2
1/12/19,521,115,63,30,11
1/13/19,509,86,57,24,8
1/14/19,606,96,76,38,12
1/15/19,507,100,65,38,16
1/16/19,578,180,104,12,63
1/17/19,594,131,38,52,11
1/18/19,640,151,40,33,17
1/19/19,598,89,118,27,15
1/20/19,506,97,78,18,9
1/21/19,547,111,59,25,13
1/22/19,552,69,34,20,8
1/23/19,477,112,56,37,12
1/24/19,556,140,30,23,6
1/25/19,599,77,103,34,21
1/26/19,600,102,55,31,13
1/27/19,550,57,86,6,14
1/28/19,555,101,97,45,6
1/29/19,572,95,42,18,5
1/30/19,554,116,31,11,8
1/31/19,578,107,112,43,9
2/1/19,530,112,104,34,7
2/2/19,584,127,48,70,17
2/3/19,613,88,45,62,8
2/4/19,597,121,78,45,8
2/5/19,604,129,83,37,16
2/6/19,572,95,104,49,14
2/7/19,593,100,72,25,12
2/8/19,618,92,57,48,13
2/9/19,654,96,168,36,8
2/10/19,575,128,122,35,8
2/11/19,631,123,39,18,11
2/12/19,578,108,87,32,6
2/13/19,561,214,99,19,34
2/14/19,591,159,50,77,21
2/15/19,588,144,97,45,18
2/16/19,569,87,69,27,13
2/17/19,575,79,82,18,12
2/18/19,539,94,80,34,7
2/19/19,586,90,49,65,9
2/20/19,538,117,124,22,9
2/21/19,625,75,67,28,13
2/22/19,735,136,52,49,13
2/23/19,551,87,147,25,23
2/24/19,537,69,36,32,10
2/25/19,549,143,54,27,9
2/26/19,571,107,49,37,10
2/27/19,578,87,68,58,14
2/28/19,667,98,95,43,9